#Wavelength [nm]	White Std.	Dark spec	0[s]	20.578[s]	40.667[s]	60.747[s]	80.814[s]	100.892[s]	120.956[s]	141.017[s]	161.122[s]	181.21[s]	201.3[s]	221.359[s]	241.466[s]	261.615[s]	281.707[s]	301.819[s]	301.831[s]
452.524	25906.6	1031	2148.56	2115.76	2084.16	2096.76	2099.76	2083.16	2073.96	2092.56	2051.36	2083.76	2035.16	2046.16	2072.56	2116.56	2064.56	2014.36	2014.36
452.793	26166	1038.76	2175.71	2152.18	2124.38	2134.58	2096.18	2113.98	2147.58	2105.58	2136.38	2091.78	2113.18	2078.78	2114.58	2111.38	2085.78	2041.58	2041.58
453.062	25685.7	1036.28	2154.55	2106.02	2094.82	2103.02	2108.82	2092.62	2091.02	2105.22	2056.82	2026.02	2065.02	2037.22	2075.02	2075.02	2064.22	2048.42	2048.42
453.331	25412.9	1031.3	2149.47	2128	2103.8	2101.6	2098.6	2090.4	2055	2081	2138	2021.4	2049.8	2049	2050	2053.8	2021.8	2012.2	2012.2
453.6	24989.8	1032.6	2135.41	2119.88	2077.28	2081.08	2083.48	2031.68	2020.88	2081.88	2062.48	2047.28	2037.08	2071.68	2043.68	2014.48	2032.08	2044.28	2044.28
453.868	24542.7	1039.68	2078.81	2079.68	2069.68	2075.88	2048.68	2066.48	2061.88	2025.08	2036.28	2024.28	2027.08	1996.08	2012.88	2050.08	2051.68	2008.08	2008.08
454.137	24320.4	1040.24	2130.23	2069.9	2033.9	2061.3	2024.3	2039.9	2065.5	2042.7	2019.3	2072.1	2059.7	1969.9	2007.9	1997.3	2005.1	2026.9	2026.9
454.405	23810.9	1029.12	2066.53	2049.66	2035.06	2027.66	2062.06	1999.86	2011.06	1973.66	1991.86	1981.86	2002.06	1973.46	1969.46	1976.66	1976.26	1974.26	1974.26
454.674	23436.6	1035.92	2056.02	2007.22	2035.62	1970.62	1986.42	1947.62	2013.22	1994.02	1987.62	1935.02	1939.02	1953.02	1951.82	1967.62	1951.82	1931.42	1931.42
454.942	23098.7	1041.48	2023.87	1984.4	1985	1981.6	1986.2	1968.2	2001.2	1978.8	1968.2	1968.8	1908.8	1973.8	1972.6	1949.6	1937.4	1913.4	1913.4
