# Object: 
# Sample: 
# Curr: 900 (Watts: 0.00212998, Luxes: 8.2241)
#Time	L	a	b	dE76	dE94	dE2000	dL	da	db
267.635	70.5314	16.5716	56.2971	6.42758	4.37506	4.32987	-3.35368	4.79589	-2.65819
269.637	70.5325	16.5584	56.277	6.42556	4.37212	4.32587	-3.35266	4.78271	-2.67829
271.654	70.519	16.5902	56.2882	6.45157	4.39146	4.3464	-3.36609	4.81444	-2.6671
273.666	70.5181	16.5952	56.2906	6.45487	4.39359	4.34905	-3.36706	4.81948	-2.66475
275.693	70.5153	16.6014	56.3371	6.44182	4.39283	4.34598	-3.36977	4.82565	-2.61816
277.702	70.5179	16.6099	56.3115	6.4573	4.39626	4.3533	-3.36721	4.83417	-2.64376
279.719	70.5115	16.5987	56.2721	6.46851	4.40167	4.35674	-3.37365	4.82293	-2.68317
281.715	70.5096	16.6077	56.3041	6.46299	4.40265	4.35705	-3.37549	4.83193	-2.65117
283.725	70.5027	16.609	56.3181	6.46193	4.40697	4.35864	-3.38242	4.83331	-2.63721
285.727	70.5062	16.6068	56.3451	6.44749	4.40082	4.35164	-3.37896	4.83111	-2.6102
287.747	70.4987	16.6345	56.3402	6.47412	4.41595	4.36999	-3.38642	4.85879	-2.61507
289.764	70.4932	16.6367	56.3176	6.48777	4.42318	4.37717	-3.3919	4.86094	-2.63771
291.768	70.4865	16.6478	56.2842	6.51328	4.43539	4.39127	-3.39863	4.87209	-2.67113
293.775	70.4894	16.6482	56.296	6.50723	4.43206	4.38827	-3.39572	4.87248	-2.65932
295.794	70.486	16.661	56.3034	6.51554	4.438	4.39517	-3.39908	4.88528	-2.65191
297.814	70.4819	16.6674	56.2687	6.53664	4.44682	4.40586	-3.40323	4.89164	-2.68656
299.811	70.4805	16.6721	56.3134	6.52269	4.44476	4.40175	-3.40457	4.89638	-2.64195
301.821	70.4834	16.6692	56.2924	6.52755	4.44383	4.40234	-3.40176	4.89345	-2.66291
