#Wavelength [nm]	White Std.	Dark spec	0[s]	19.307[s]	39.359[s]	59.449[s]	79.534[s]	99.569[s]	119.606[s]	139.731[s]	159.762[s]	179.874[s]	199.916[s]	219.971[s]	240.047[s]	260.146[s]	280.297[s]	300.409[s]	300.426[s]
448.485	26791.3	1034.52	1823.69	1781.76	1799.36	1791.36	1774.76	1754.96	1774.16	1778.16	1767.96	1775.56	1729.16	1717.36	1724.76	1725.96	1763.56	1735.16	1735.16
448.755	27135.4	1038	1868.53	1841	1747.8	1806.4	1806.6	1814.8	1790.6	1767	1766.8	1791	1754.2	1759.8	1750.2	1777.8	1762.2	1724	1724
449.024	27508	1037.72	1861.35	1911.22	1850.42	1866.42	1845.62	1818.82	1826.22	1811.92	1818.02	1797.22	1788.02	1773.62	1825.62	1781.22	1797.02	1755.62	1755.62
449.294	27269.9	1039.04	1869.97	1874.5	1813.3	1828.7	1827.3	1830.5	1828.5	1823.3	1816.1	1814.5	1800.5	1800.5	1815.7	1757.3	1773.9	1790.7	1790.7
449.563	27330.9	1027.08	1883.63	1866.36	1843.76	1820.76	1844.56	1880.76	1837.56	1820.56	1820.56	1827.96	1800.96	1808.36	1803.76	1806.96	1796.76	1832.76	1832.76
449.833	27548.3	1034.42	1919.92	1899.32	1848.32	1884.92	1866.12	1862.32	1889.72	1862.72	1912.92	1802.92	1884.12	1866.92	1808.12	1814.12	1791.52	1815.72	1815.72
450.102	27971.1	1036.8	1937.71	1951.58	1894.78	1928.18	1889.98	1880.98	1879.88	1877.78	1859.98	1882.98	1881.18	1879.58	1859.98	1841.78	1862.38	1830.38	1830.38
450.372	27963.5	1047.94	1974.81	1916.94	1955.14	1939.54	1909.94	1912.34	1902.34	1867.14	1901.74	1888.74	1880.14	1875.74	1886.34	1868.14	1863.14	1865.94	1865.94
450.641	27496.9	1039.12	1943.74	1878.34	1938.54	1907.54	1887.34	1873.14	1865.34	1866.94	1848.54	1849.34	1860.54	1851.54	1862.14	1849.14	1843.54	1816.74	1816.74
450.91	27003.1	1037.52	1914.35	1907.42	1885.02	1881.82	1828.22	1846.82	1866.22	1841.02	1894.02	1833.62	1837.42	1805.22	1877.62	1853.62	1783.82	1824.62	1824.62
451.179	26860.6	1042.68	1917.07	1909.34	1932.34	1878.14	1893.54	1863.14	1870.74	1823.14	1869.34	1831.34	1847.94	1815.14	1861.14	1839.74	1837.54	1811.34	1811.34
451.448	27428.9	1030.95	1978.89	1970.16	1913.56	1933.36	1900.16	1910.16	1923.96	1886.96	1927.56	1938.96	1909.36	1846.56	1893.96	1884.16	1900.96	1892.56	1892.56
451.717	26384.5	1027.3	1905.56	1911.36	1860.96	1866.36	1872.96	1826.76	1876.16	1812.56	1839.96	1859.46	1830.76	1830.36	1866.56	1822.76	1842.36	1838.36	1838.36
451.986	26978.5	1041.72	1978.03	1966.96	1921.76	1939.56	1910.36	1897.76	1919.96	1928.96	1897.16	1853.56	1881.56	1879.96	1887.96	1881.56	1895.36	1854.56	1854.56
452.255	26369.4	1022.92	1923.67	1888.4	1891.6	1892.8	1862	1870.4	1856.6	1845.4	1879	1825.2	1822.8	1835.6	1806.6	1851	1829.6	1841.8	1841.8
452.524	25906.6	1034.02	1908.09	1876.42	1857.62	1892.22	1827.22	1841.62	1860.02	1843.22	1850.02	1855.42	1816.02	1797.42	1857.82	1834.42	1828.02	1790.42	1790.42
452.793	26166	1040.9	1928.39	1926.06	1891.66	1905.26	1857.66	1868.46	1926.66	1875.46	1871.26	1865.46	1869.86	1875.66	1844.66	1808.26	1837.46	1874.46	1874.46
453.062	25685.7	1038.38	1923.36	1885.96	1912.76	1856.36	1861.16	1847.76	1854.56	1823.96	1805.56	1839.76	1846.56	1838.56	1845.36	1841.16	1808.76	1828.16	1828.16
